id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1129820,Rental unit in St Julian's · ★4.78 · 2 bedrooms · 2 beds · 1 bath,6198295,Romina,San Giljan,35.91839,14.48816,Entire home/apt,88,3,165,1,260,2
1165218,Rental unit in Marsaskala · ★4.79 · 3 bedrooms · 6 beds · 2 baths,6381933,Dario,Marsascala,35.86695,14.57345,Entire home/apt,120,1,47,2,299,1
1165398,Rental unit in Ta' Xbiex · ★4.65 · 2 bedrooms · 4 beds · 1.5 baths,6383078,Ivan,Ta' Xbiex,35.89766,14.49512,Entire home/apt,103,3,158,1,108,7
1170614,Rental unit in St Paul's Bay · ★4.95 · 2 bedrooms · 3 beds · 1 bath,6409004,Loving Malta,San Pawl il-Bahar,35.95281,14.41345,Entire home/apt,157,3,63,2,343,11
1176933,Rental unit in Tas-Sliema · ★4.67 · 2 bedrooms · 4 beds · 1 bath,2474524,Simon,Sliema,35.9132,14.4962,Entire home/apt,94,3,48,12,105,8
1176975,Home in Tas-Sliema · ★4.41 · 3 bedrooms · 4 beds · 2 baths,6439756,Francesca,Sliema,35.91077,14.49496,Entire home/apt,28,5,90,1,226,12
1179621,Condo in San Gwann · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,314048,Franco,San Gwann,35.91425323486328,14.468161582946776,Private room,47,3,30,3,268,5
1181787,Rental unit in San Pawl il-Baħar · ★4.70 · 1 bedroom · 2 beds · 1 shared bath,6464928,Jacqui,San Pawl il-Bahar,35.94643,14.41754,Private room,23,2,87,3,141,15
1186996,Home in Birżebbuġa · ★4.43 · 1 bedroom · 2 beds · 1 bath,670537,Alice,Birzebbugia,35.83059,14.53191,Entire home/apt,80,5,103,2,317,14
1188612,Rental unit in Valletta · ★4.80 · 1 bedroom · 1 bed · 1 bath,1351697,Valletta Vintage,Valletta,35.90056,14.51652,Entire home/apt,136,2,270,10,306,31
1193382,Townhouse in Xagħra · ★4.95 · 3 bedrooms · 4 beds · 3 baths,6522047,Aaron,Xaghra,36.05089,14.2758,Entire home/apt,155,5,66,3,335,8
1203140,Home in Naxxar · ★4.92 · 3 bedrooms · 4 beds · 3 baths,6571897,Nadya,Naxxar,35.94454,14.42572,Entire home/apt,211,3,27,1,153,17
1214971,Rental unit in Sliema · ★4.90 · 2 bedrooms · 3 beds · 2 baths,6631768,Tanya,Sliema,35.9099,14.4973,Entire home/apt,89,3,230,1,315,24
1229813,Home in St Julian's · ★4.63 · 2 bedrooms · 4 beds · 2 baths,98282669,Lovelyrentals,San Giljan,35.91293,14.49452,Entire home/apt,185,7,27,25,340,11
1230651,Home in L-Imġarr · ★4.57 · 3 bedrooms · 6 beds · 3 baths,6711794,Gloria,Mgarr,35.92083,14.37774,Entire home/apt,200,1,85,10,360,0
1246323,Home in St Paul's Bay · ★4.77 · 1 bedroom · 1 bed · 1 bath,6787359,Mark,San Pawl il-Bahar,35.94655,14.39156,Entire home/apt,35,180,143,1,101,0
1247297,Home in Tas-Sliema · ★4.45 · 1 bedroom · 2 beds · 1 bath,6797042,Anne Marie,Sliema,35.91121,14.49891,Entire home/apt,30,5,107,1,217,10
1268797,Rental unit in St Julian's · ★4.19 · 2 bedrooms · 4 beds · 1 bath,4653048,Joseph Charles,San Giljan,35.92035,14.49154,Entire home/apt,113,2,53,21,326,5
